duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,prediction
0.2208170890808105,3,0,1.1920928955078125e-06,0,0.2208118438720703,0,0.0736056963602701,0,18.114540032434512,1281.6037072947415,1.1920928955078125e-06,0.2208118438720703,0.0736056963602701,0.1040904651444942,0
0.0048749446868896,2,0,0.0005278587341308,0,0.0043470859527587,0,0.0024374723434448,0,615.3915977894068,46974.891964591385,0.0005278587341308,0.0043470859527587,0.0024374723434448,0.0019096136093139,0
46.04457092285156,7,0,0.0105071067810058,0,15.043761014938354,0,6.577795846121652,0,0.1737446964899321,15.115788594624098,0.0105071067810058,15.043761014938354,6.577795846121652,7.29216789646153,0
46.03144097328186,7,0,0.0004618167877197,0,15.052173137664797,0,6.5759201390402655,0,0.1737942552057725,15.467688713313752,0.0004618167877197,15.052173137664797,6.5759201390402655,7.302322175767165,0
45.467138051986694,3,0,6.9141387939453125e-06,0,45.19987201690674,0,15.155712683995564,0,0.0879756274834461,6.9500745711922445,6.9141387939453125e-06,45.19987201690674,15.155712683995564,21.244708964061697,0
45.26728701591492,3,0,0.0003430843353271,0,45.00033688545227,0,15.08909567197164,0,0.0883640320347383,6.494756354553267,0.0003430843353271,45.00033688545227,15.08909567197164,21.15072082810424,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.343108892440796,62,0,2.86102294921875e-06,0,11.607150077819824,0,0.2313404660071096,0,4.392353183151436,480.9278136091842,2.86102294921875e-06,11.607150077819824,0.2313404660071096,1.469900014795903,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.28979992866516,50,0,0.0,0,11.618168115615845,0,0.2857959985733032,0,3.5689792897446124,937.8717733560254,0.0,11.618168115615845,0.2857959985733032,1.6341136294448744,0
0.1558129787445068,7,0,2.86102294921875e-06,0,0.0804681777954101,0,0.0222589969635009,0,51.34360477837947,7348.553433905562,2.86102294921875e-06,0.0804681777954101,0.0222589969635009,0.027935810134477,0
0.1629209518432617,8,0,1.9073486328125e-06,0,0.0756459236145019,0,0.0203651189804077,0,55.24151374132936,7285.741867884216,1.9073486328125e-06,0.0756459236145019,0.0203651189804077,0.0265596462710306,0
0.2003188133239746,1,0,0.2003188133239746,0,0.2003188133239746,0,0.2003188133239746,0,9.984084703843616,848.6471998267075,0.2003188133239746,0.2003188133239746,0.2003188133239746,0.0,0
0.120103120803833,7,0,9.5367431640625e-07,0,0.040187120437622,0,0.0171575886862618,0,66.60942651995339,39707.54438420721,9.5367431640625e-07,0.040187120437622,0.0171575886862618,0.0198099011967836,0
0.121061086654663,7,0,9.5367431640625e-07,0,0.0439379215240478,0,0.0172944409506661,0,66.08234091620763,44547.75807013847,9.5367431640625e-07,0.0439379215240478,0.0172944409506661,0.0196601438438421,0
3.0994415283203125e-06,1,0,3.0994415283203125e-06,0,3.0994415283203125e-06,0,3.0994415283203125e-06,0,645277.5384615385,50331648.0,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.841900110244751,25,0,3.814697265625e-06,0,1.6309750080108645,0,0.11367600440979,0,9.148808540550998,1835.7436213867136,3.814697265625e-06,1.6309750080108645,0.11367600440979,0.3201157234097805,0
2.8014960289001465,21,0,1.9073486328125e-06,0,1.6782920360565186,0,0.1334045728047689,0,7.85294705866033,5397.116342133827,1.9073486328125e-06,1.6782920360565186,0.1334045728047689,0.3586942467611169,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0764908790588378,31,0,2.5987625122070312e-05,0,0.0227470397949218,0,0.0024674477115754,0,418.3505326875004,66164.75143535748,2.5987625122070312e-05,0.0227470397949218,0.0024674477115754,0.0046081455107641,0
0.0674798488616943,55,0,9.5367431640625e-07,0,0.0306811332702636,0,0.0012269063429398,0,829.8773773897559,995171.1678791367,9.5367431640625e-07,0.0306811332702636,0.0012269063429398,0.0044227032940151,0
36.60293602943421,2,0,0.0473361015319824,0,36.55559992790222,0,18.301468014717106,0,0.081960638282884,5.08155957353881,0.0473361015319824,36.55559992790222,18.301468014717106,18.25413191318512,0
36.56184506416321,1,0,36.56184506416321,0,36.56184506416321,0,36.56184506416321,0,0.0547018345625105,3.6103210811256985,36.56184506416321,36.56184506416321,36.56184506416321,0.0,0
14.9736750125885,2,0,0.2035679817199707,0,14.77010703086853,0,7.486837506294251,0,0.200351616919552,92.16174378299394,0.2035679817199707,14.77010703086853,7.486837506294251,7.28326952457428,0
